from,to
255778,557
255778,42192
255778,3512
211237,5861
211237,341532
211237,261996
211237,293606
211237,1072
211237,321037
211237,323481
211237,222784
211237,282760
211237,302988
211237,323767
211237,321555
211237,321436
211237,312248
211237,312111
211237,312071
211237,312354
211237,279721
211237,320054
211237,317129
211237,318205
211237,172162
211237,62943
211237,313886
211237,248903
211237,273510
211237,306286
211237,77202
211237,3469
211237,304857
211237,301856
211237,286115
211237,301865
211237,302132
211237,64867
211237,10225
211237,290222
211237,138038
211237,298454
211237,106119
5418,486417
5418,502847
5418,341
5418,304701
5418,65670
5418,112568
5418,326443
5418,306466
5418,191300
5418,486721
5418,153891
5418,322514
5418,483655
5418,445694
5418,39769
5418,445392
5418,477610
5418,340408
5418,475026
5418,333383
5418,286871
5418,466659
5418,312098
5418,3203
5418,459609
5418,440829
5418,326461
5418,460163
5418,461429
5418,72677
5418,416781
5418,19438
5418,428038
5418,168381
5418,456709
5418,324169
5418,187412
5418,225423
5418,458040
5418,344956
107950,161399
107950,167427
107950,181343
107950,90341
107950,259516
107950,13577
107950,114399
107950,112033
107950,100619
107950,1574
107950,29413
107950,7149
107950,26240
107950,100192
107950,482
107950,18044
107950,45358
107950,8145
107950,113498
107950,21157
107950,9229
107950,114980
107950,126475
107950,2050
107950,154030
107950,135819
107950,56995
107950,721
107950,110355
107950,164244
107950,164665
107950,164528
107950,110660
107950,9581
107950,142642
107950,162377
107950,58041
107950,140605
107950,102411
107950,125801
249774,432453
249774,304860
249774,290899
249774,168381
249774,447876
249774,439445
249774,320482
249774,329482
249774,277583
249774,343196
249774,239498
249774,349165
249774,330705
249774,410793
249774,27442
249774,332726
249774,43080
249774,341971
249774,293848
249774,321197
249774,340870
249774,316070
249774,267427
249774,302041
249774,137984
249774,105579
249774,51988
249774,202674
249774,8275
249774,197374
249774,65225
249774,337646
249774,112568
249774,140469
249774,279778
249774,10225
249774,323661
249774,336050
249774,327482
249774,224521
283824,271782
283824,135678
283824,88324
283824,119031
283824,42621
283824,81844
283824,101600
283824,39351
283824,75592
283824,173210
283824,154564
283824,96971
283824,107326
283824,169602
283824,187383
283824,137401
283824,35132
283824,194712
283824,195181
283824,42192
283824,162787
283824,149350
283824,20260
283824,167323
283824,100701
283824,207090
283824,218745
283824,229326
283824,236389
283824,209174
283824,94542
283824,248541
283824,4910
283824,276324
18224,288556
18224,340878
18224,341474
18224,40116
18224,4981
18224,322079
18224,326378
18224,330407
18224,304001
18224,13359
18224,160051
18224,193617
18224,34720
18224,7343
18224,3100
18224,53164
18224,2410
18224,272412
18224,79160
18224,224521
18224,51024
18224,62583
18224,95843
18224,24312
18224,228957
18224,221834
18224,12619
18224,19610
18224,278984
18224,382
18224,108571
18224,19884
18224,259331
18224,6260
18224,295531
18224,277447
18224,292919
18224,5694
18224,279778
18224,213235
332726,432378
332726,323485
332726,275722
332726,40863
332726,4413
332726,318060
332726,293842
332726,311194
332726,230042
332726,287974
332726,6088
332726,137401
332726,96971
332726,5418
332726,220161
332726,283489
332726,188861
332726,177007
332726,42621
332726,203762
332726,191545
332726,152235
332726,175317
332726,235353
332726,209298
332726,28444
332726,338279
332726,207225
332726,90000
332726,211237
332726,151374
332726,233378
332726,53995
332726,158021
332726,13880
332726,239136
332726,193924
332726,208130
332726,22295
332726,284953
199862,15822
199862,266114
199862,272412
199862,273033
199862,167323
199862,263268
199862,107950
199862,14767
199862,251267
199862,263126
199862,258672
199862,79160
199862,242926
199862,41669
199862,118944
199862,111032
199862,101998
199862,258807
199862,247973
199862,255778
199862,27698
199862,483
199862,67457
199862,4020
199862,62240
199862,23054
199862,108437
199862,121032
199862,54380
199862,121243
199862,52437
199862,109753
199862,148279
199862,188008
199862,251084
199862,311
199862,253306
199862,50036
199862,42621
199862,229171
144058,7788
144058,285866
144058,61250
144058,319344
144058,426168
144058,5003
144058,222784
144058,69813
144058,337551
144058,415106
144058,416764
144058,291060
144058,221021
144058,74700
144058,343245
144058,311113
144058,325038
144058,311107
144058,295531
144058,254218
144058,294618
144058,290907
144058,200424
144058,197170
144058,168374
144058,243989
144058,306331
144058,260113
144058,335987
144058,243213
144058,309156
144058,333445
144058,330696
144058,91660
144058,46669
144058,9280
144058,1663
144058,30969
144058,85444
144058,223594
304576,493768
304576,305358
304576,279604
304576,72786
304576,33349
304576,65349
304576,343196
304576,105186
304576,243213
304576,8144
304576,336303
304576,10225
304576,257006
304576,37230
304576,69719
304576,200676
304576,6409
304576,318205
304576,35312
304576,7624
304576,116720
304576,299067
304576,993
304576,280575
304576,244
304576,41994
304576,3300
304576,557
304576,12
304576,2555
304576,31448
304576,6955
304576,2230
304576,46876
304576,63292
304576,5647
304576,124944
304576,88322
304576,52461
304576,145117
48451,81844
48451,37841
48451,99924
48451,723
48451,23041
48451,46222
250186,277949
250186,224477
250186,5694
250186,26419
250186,185372
250186,167323
250186,5885
250186,37189
250186,27311
250186,1566
250186,35312
250186,163138
250186,341
250186,81844
250186,42621
250186,7542
250186,228957
250186,66403
250186,165360
250186,3361
250186,105591
250186,12
112460,485050
112460,193334
112460,278984
112460,410793
112460,140197
112460,5943
112460,117867
112460,426816
112460,66098
112460,245811
112460,427200
112460,77202
112460,8005
112460,234419
112460,314637
112460,207464
112460,297590
112460,257332
112460,19851
112460,424540
112460,41065
112460,269902
112460,415761
112460,330705
112460,177710
112460,418674
112460,417280
112460,323767
112460,143760
112460,325822
112460,415106
112460,324832
112460,321554
112460,37753
112460,351275
112460,346253
112460,274140
112460,269221
112460,342069
112460,341823
243919,144058
243919,211237
243919,57707
243919,7889
243919,59953
243919,93737
243919,104234
243919,35312
243919,3300
243919,226002
243919,81844
243919,17524
3538,143760
3538,163631
3538,191300
3538,304701
3538,312098
3538,459514
3538,35132
3538,440401
3538,17984
3538,433201
3538,197475
3538,1388
3538,432546
3538,166059
3538,35628
3538,427626
3538,408513
3538,65225
3538,996
3538,50159
3538,410793
3538,417241
3538,416399
3538,261312
3538,343196
3538,342070
3538,11121
3538,340063
3538,75731
3538,155175
3538,336060
3538,312162
3538,258807
3538,318722
3538,168374
3538,156553
3538,57784
3538,40436
3538,245811
3538,234419
263126,161399
263126,305733
263126,281810
263126,312170
263126,293047
263126,314333
263126,302988
263126,293602
263126,282760
263126,294599
263126,222784
263126,323647
263126,323485
263126,137907
263126,138189
263126,321197
263126,210610
263126,314573
263126,144763
263126,149311
263126,318951
263126,312567
263126,321037
263126,321242
263126,278207
263126,319455
263126,197321
263126,315412
263126,8507
263126,321719
263126,293475
263126,321559
263126,321555
263126,312248
263126,34796
263126,313793
263126,317129
263126,311079
263126,320054
263126,319313
23768,482369
23768,312098
23768,435700
23768,333383
23768,330280
23768,318205
23768,312071
23768,298980
23768,137572
23768,106119
23768,43991
23768,293729
23768,293065
23768,277661
23768,293358
23768,293356
23768,292123
23768,94789
23768,4020
23768,116950
23768,279604
23768,279645
23768,172416
23768,60746
23768,141406
23768,144047
23768,152143
23768,277467
23768,5418
23768,138345
23768,269574
23768,38716
23768,241816
23768,15340
23768,74700
23768,18857
23768,273061
23768,273218
23768,3203
23768,269847
21597,483380
21597,432453
21597,410704
21597,349165
21597,430586
21597,417252
21597,16316
21597,169190
21597,349515
21597,293501
21597,33349
21597,351275
21597,149291
21597,346253
21597,345970
21597,1160
21597,290345
21597,288556
21597,243213
21597,15011
21597,291826
21597,300850
21597,323767
21597,293175
21597,321555
21597,305184
21597,61779
21597,312071
21597,311237
21597,17562
21597,297343
21597,294194
21597,119511
21597,301769
21597,263126
21597,278
21597,42621
21597,135678
21597,15340
21597,45432
56927,149693
56927,73567
56927,74195
56927,64408
56927,17893
56927,50953
56927,24312
56927,7889
56927,258807
56927,11636
56927,4898
56927,4020
56927,29486
56927,9411
56927,196605
56927,248541
56927,63292
56927,107093
56927,3361
56927,10513
56927,2492
56927,31604
56927,141441
56927,35312
56927,36389
56927,168020
56927,92076
56927,259219
56927,9749
56927,54673
56927,36951
56927,81844
56927,249774
56927,36963
56927,107175
56927,56495
56927,207676
56927,3584
56927,6260
56927,12
1121,324395
1121,312098
1121,50159
1121,447876
1121,445694
1121,225423
1121,226263
1121,435270
1121,66098
1121,426420
1121,257332
1121,424540
1121,269902
1121,41065
1121,330705
1121,342165
1121,410793
1121,341750
1121,414994
1121,344164
1121,345970
1121,343196
1121,340063
1121,340870
1121,338160
1121,8275
1121,335322
1121,329671
1121,325871
1121,316070
1121,325822
1121,327221
1121,323767
1121,294599
1121,321555
1121,315699
1121,317129
1121,311079
1121,320054
1121,315826
36963,348372
36963,45713
36963,253306
36963,326885
36963,415495
36963,8275
36963,3809
36963,306286
36963,3858
36963,279676
36963,279721
36963,227429
36963,294194
36963,24413
36963,194622
36963,302520
36963,173581
36963,246811
36963,993
36963,72541
36963,277661
36963,293983
36963,293379
36963,276904
36963,200093
36963,98110
36963,277949
36963,266618
36963,163759
36963,275848
36963,48296
36963,47808
36963,211958
36963,211237
36963,33381
36963,126
36963,280488
36963,60746
36963,19057
36963,72748
281062,91937
281062,124169
64486,5824
64486,156976
64486,410773
64486,124170
64486,271606
64486,288556
64486,343196
64486,220161
64486,222194
64486,197323
64486,194144
64486,327221
64486,323485
64486,302815
64486,326173
64486,17562
64486,42621
64486,144058
64486,305377
64486,239136
64486,225423
64486,223085
64486,174331
64486,222241
64486,125017
64486,312071
64486,90400
64486,63018
64486,209680
64486,193650
64486,267629
64486,229745
64486,107950
64486,264334
64486,263126
64486,4737
64486,88837
64486,176493
64486,81844
64486,149350
161384,224898
161384,222194
161384,324395
161384,415106
161384,321555
161384,305358
161384,302717
161384,300736
161384,291329
161384,4020
161384,95843
161384,280034
161384,279036
161384,195654
161384,203220
161384,233385
161384,268002
161384,15192
161384,263050
161384,69813
161384,144058
161384,261035
161384,135326
161384,17710
161384,151921
161384,48876
161384,5003
161384,258672
161384,50296
161384,229525
161384,238966
161384,248496
161384,162318
161384,81844
161384,213966
161384,254668
161384,193158
161384,190717
161384,53965
161384,204152
188658,336459
188658,264334
188658,119035
188658,237209
188658,28547
188658,81844
188658,17984
188658,235070
188658,228957
188658,46876
188658,207090
188658,24508
188658,154564
188658,137401
188658,146236
188658,58270
188658,145433
188658,42192
188658,107326
188658,100701
188658,121032
188658,120705
188658,66403
188658,96971
188658,178853
188658,195181
188658,194712
188658,186544
188658,52217
199538,255353
199538,100737
199538,78480
199538,210895
199538,201481
199538,53995
199538,177883
199538,116341
199538,199829
199538,185929
199538,152712
199538,1412
199538,78318
199538,3632
199538,5081
199538,108871
199538,3202
199538,108924
199538,1460
199538,145334
199538,1969
199538,115385
199538,61655
199538,64776
199538,200626
199538,100701
199538,53820
199538,2759
199538,200842
199538,780
199538,123287
199538,201415
199538,42192
199538,66403
199538,166632
199538,27788
199538,35312
199538,5159
199538,195181
199538,13060
12148,418674
12148,332726
12148,316310
12148,285947
12148,288565
12148,96095
12148,293606
12148,297292
12148,79160
12148,316707
12148,318205
12148,313886
12148,340791
12148,35414
12148,323993
12148,325336
12148,324148
12148,332841
12148,337547
12148,306168
12148,307976
12148,20314
12148,8624
12148,239602
12148,274270
12148,112786
12148,52203
12148,5546
12148,59296
12148,273848
12148,275076
12148,42992
12148,247643
12148,73158
12148,88322
12148,249294
12148,274543
12148,157892
12148,14116
12148,90968
218233,4910
218233,8144
218233,312098
218233,17655
218233,14982
218233,40436
218233,324437
218233,439244
218233,418283
218233,441217
218233,343196
218233,340063
218233,321231
218233,293834
218233,35132
218233,174331
218233,312144
218233,175042
218233,309696
218233,7149
218233,107175
218233,298946
218233,277739
218233,274330
218233,286615
218233,196605
218233,250020
218233,280440
218233,296996
218233,284564
218233,100544
218233,171276
218233,1890
218233,292095
218233,69324
218233,292553
218233,287700
218233,4020
218233,26059
218233,12148
119035,104354
119035,177001
119035,294769
119035,293955
119035,291859
119035,293379
119035,227023
119035,24413
119035,292571
119035,172470
119035,107909
119035,274981
119035,61044
119035,289309
119035,287645
119035,99050
119035,60746
119035,14488
119035,72507
119035,167041
119035,250303
119035,254223
119035,96233
119035,6481
119035,176642
119035,277218
119035,277447
119035,148096
119035,17893
119035,267427
119035,60346
119035,88324
119035,162729
119035,5238
119035,1872
119035,227077
119035,248541
119035,46013
119035,85148
119035,265673
7935,81844
7935,57002
7935,65349
7935,20548
7935,21371
7935,31144
7935,5009
